rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
54,Monash University,58460,43.1,38,56,75.2,55.3,67.8,94.7,99.7,91.1,,,,,,
=55,Kyoto University,21817,9.0,11,25,75.0,85.4,84.3,60.0,100.0,45.7,"Yoshida-honmachi, Sakyo-ku, Kyoto, 606-8501, Japan",,,,,
=55,Zhejiang University,48169,12.0,16,,75.0,70.2,75.3,78.7,99.0,65.5,"866 Yuhangtang Road Hangzhou, Zhejiang Province, Zhejiang, 310058, China",,,,,
57,University of Science and Technology of China,20252,8.1,5,,74.8,74.3,66.3,88.2,95.6,45.4,"No.96 Jinzhai Road, Road Baohe District, Hefei, Anhui Province, 230026, China",,,,,
58,Université Paris-Saclay,31662,13.0,24,50,74.4,70.9,66.1,82.4,92.4,78.6,"3 rue Joliot Curie, Bréguet building, Gif-sur-Yvette, Ile-de-France, 91190, France",,,,,
59,"University of California, Davis",37926,13.3,18,60,74.1,63.7,67.8,87.2,91.5,78.7,"1 Shields Avenue, California, 95616, United States",,,,,
60,The University of Sydney,57414,23.1,51,58,73.8,52.6,68.9,92.0,97.7,90.2,,,,,,
61,University of Amsterdam,28649,13.2,36,60,73.6,55.0,63.1,96.7,77.6,93.2,"PO Box 19268, Amsterdam, North Holland Province, 1012 WP, Netherlands",,,,,
62,Seoul National University,28620,16.1,13,,73.4,74.2,75.3,74.6,100.0,43.7,"1 Gwanak-ro, Gwanak-gu, Seoul, Gyeonggi province, 08826, South Korea",,,,,
63,University of Wisconsin-Madison,41209,9.9,13,,73.3,68.5,67.5,85.5,79.8,62.8,"1308 West Dayton Street, Union South, Madison, Wisconsin, 53715-1149, United States",,,,,
=64,Brown University,9781,10.3,19,,73.0,69.8,59.6,89.7,69.3,72.1,"Providence, Rhode Island, 02912, United States",,,,,
=64,The Hong Kong University of Science and Technology,9794,19.9,30,,73.0,54.0,62.1,92.9,100.0,95.5,"Clear Water Bay, Kowloon, Hong Kong",,,,,
=64,Wageningen University & Research,15899,18.1,28,54,73.0,56.4,59.8,93.8,98.8,92.4,"Droevendaalsesteeg 4, Building nr. 104, Wageningen, 6702 PB, Netherlands",,,,,
67,Australian National University,17293,15.1,48,52,72.6,55.9,68.0,86.6,82.0,94.8,,,,,,
68,Washington University in St Louis,13825,7.3,22,52,72.3,60.8,57.2,97.5,77.8,72.7,"1 Brookings Drive, St. Louis, Missouri, 63130, United States",,,,,
69,"University of California, Santa Barbara",25540,27.5,18,54,72.1,47.4,64.7,96.9,99.4,84.0,"552 University Road, Santa Barbara, California, 93106, United States",,,,,
70,The University of Queensland,42847,39.1,42,55,72.0,52.9,64.3,89.1,99.8,94.0,,,,,,
71,Institut Polytechnique de Paris,6073,6.8,42,25,71.3,71.0,61.6,70.8,98.8,97.1,"Rte de Saclay, Palaiseau, Ile-de-France region, 91120, France",,,,,
72,University of North Carolina at Chapel Hill,30782,7.7,8,60,71.2,63.4,60.3,93.9,75.8,50.9,"174 Country Club Road, Chapel Hill, North Carolina, 27599, United States",,,,,
73,Nanjing University,36711,16.7,8,54,70.9,64.0,61.7,85.3,96.8,61.8,"22 Hankou Road, Gulou District, Nanjing, Jiangsu, 210093, China",,,,,
74,University of Southern California,44083,14.2,24,49,70.8,59.2,58.8,92.5,74.4,74.3,"University of Southern Califor, Los Angeles, California, 90089, United States",,,,,
75,Sorbonne University,41527,14.5,22,60,70.5,64.7,60.8,83.7,69.5,78.8,"21 Rue de l'Ecole-de-Medecine, Paris, 75006, France",,,,,
76,Yonsei University (Seoul campus),18961,13.9,17,49,70.4,68.1,64.3,79.3,99.9,51.8,"50 Yonsei-ro, Seodaemun, Seoul, 03722, South Korea",,,,,
77,Leiden University,35072,19.3,21,60,70.2,46.0,62.7,93.0,98.1,87.8,"P.O. Box 9500, Leiden, South Holland Province, 2300, Netherlands",,,,,
78,Boston University,26677,10.8,29,58,70.1,59.6,54.1,94.3,76.4,74.1,"One Silber Way, Boston, Massachusetts, 02215, United States",,,,,
79,University of Groningen,31942,28.8,29,53,70.0,47.5,57.2,94.5,99.9,93.4,"Broerstraat 5, Groningen, Groningen Province, 9712 CP, Netherlands",,,,,
80,University of Zurich,25608,14.7,24,58,69.9,54.8,53.4,91.8,93.7,92.4,"Ramistrasse 71, Zurich, Canton of Zurich, CH-8006, Switzerland",,,,,
